https://city.imd.gov.in/citywx/city_weather.php?id=42027,Srinagar-City,26.2,7.6,NIL,27,18:55,06:11,02:44,12:40,Partly cloudy sky becoming generally cloudy towards afternoon or evening or night,07-Apr,Partly cloudy sky becoming generally cloudy towards afternoon or evening or night,08-Apr,Partly cloudy sky becoming generally cloudy towards afternoon or evening or night,09-Apr,Generally cloudy sky with Light rain,10-Apr,Generally cloudy sky with Light rain,11-Apr,Generally cloudy sky,12-Apr,Mainly Clear sky
https://city.imd.gov.in/citywx/city_weather.php?id=42028,Pahalgam,22.2,2.8,NIL,38,18:53,06:10,02:42,12:38,Partly cloudy sky becoming generally cloudy towards afternoon or evening or night,07-Apr,Partly cloudy sky becoming generally cloudy towards afternoon or evening or night,08-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,09-Apr,Generally cloudy sky with possibility of rain or Thunderstorm or Duststorm,10-Apr,Generally cloudy sky with possibility of rain or Thunderstorm or Duststorm,11-Apr,Generally cloudy sky with possibility of rain or Thunderstorm,12-Apr,Generally cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=42056,Jammu-City,35.0,18.1,NIL,33,18:54,06:12,02:40,12:44,Partly cloudy sky,07-Apr,Partly cloudy sky,08-Apr,Partly cloudy sky becoming generally cloudy towards afternoon or evening or night,09-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,10-Apr,Partly cloudy sky with possibility of rain or Thunderstorm or Duststorm,11-Apr,Partly cloudy sky with Thundery development,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=43314,kozhikode,34.8,26.0,NIL,66,18:38,06:21,01:44,13:28,Generally cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=43353,Kochi,33.0,25.2,NIL,70,18:35,06:19,01:40,13:29,Generally cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=43311,Amini Divi,35.5,27.7,NIL,70,18:50,06:33,01:57,13:41,Partly cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=43369,Minicoy,33.4,24.4,8,74,18:48,06:33,01:50,13:45,Partly cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=43083,"Medak
",37.8,20.8,NIL,73,18:31,06:07,01:49,13:04,Partly cloudy sky with haze,07-Apr,Partly cloudy sky with haze,08-Apr,Partly cloudy sky with haze,09-Apr,Partly cloudy sky with possibility of development of thunder lightning,10-Apr,Partly cloudy sky with possibility of development of thunder lightning,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with haze
https://city.imd.gov.in/citywx/city_weather.php?id=43087,Hanamkonda,38.5,23.0,NIL,46,18:26,06:02,01:43,12:59,Partly cloudy sky with haze,07-Apr,Partly cloudy sky with haze,08-Apr,Partly cloudy sky with haze,09-Apr,Partly cloudy sky with possibility of development of thunder lightning,10-Apr,Partly cloudy sky with possibility of development of thunder lightning,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with haze
https://city.imd.gov.in/citywx/city_weather.php?id=43025,"Adilabad
",41.3,24.2,NIL,41,18:31,06:06,01:51,13:00,Partly cloudy sky with haze,07-Apr,Partly cloudy sky with haze,08-Apr,Partly cloudy sky with haze,09-Apr,Partly cloudy sky with haze,10-Apr,Partly cloudy sky with haze,11-Apr,Partly cloudy sky with haze,12-Apr,Partly cloudy sky with haze
